strID,strDST,strSEC,strNM,strAD1,strAD2,StrCM,strCT,strPC,strGR,strILEn,strILFr,strURL,intBuilt,xcoord,ycoord
"3954",DSF-S,Francophone,École Mgr-Marcel-François-Richard,"49, rue du Collège, Unité 1",NULL,Saint-Louis-de-Kent,Kent,E4X 1C2,"Maternelle, 1-12",French,Français,http://mfr.nbed.nb.ca,"1977",2616701.89709298,7527865.28354407
"4017",ASD-N,Anglophone,Rexton Elementary School,19 School Street,NULL,Rexton,Kent,E4W 2E4,"Kindergarten, 1-5","English, French Immersion","Anglais, Immersion française",http://rextonelementary.nbed.nb.ca,"1989",2624838.59790055,7516917.98689387
"4055",ASD-N,Anglophone,Bonar Law Memorial School,197 Main Street,NULL,Rexton,Kent,E4W 2A9,9-12,"English, French Immersion","Anglais, Immersion française",http://bonarlaw.nbed.nb.ca,"1978",2625664.45966132,7517026.56327797
"1215",DSF-S,Francophone,École Calixte-F.-Savoie,"20, Route 505",NULL,Sainte-Anne-de-Kent,Kent,E4S 1K3,"Maternelle, 1-8",French,Français,http://calixte-f-savoie.nbed.nb.ca,"1957",2632425.79893162,7507232.76563685
"4056",ASD-N,Anglophone,Eleanor W. Graham Middle School,9 California Road,NULL,Rexton,Kent,E4W 1W7,6-8,"English, French Immersion","Anglais, Immersion française",http://EWGMS.nbed.nb.ca,"2010",2625221.97991691,7516621.1694856
"2003",ASD-S,Anglophone,Barnhill Memorial School,750 Manawagonish Road,NULL,Saint John,Saint John,E2M 3W5,6-8,"English, French Immersion","Anglais, Immersion française",http://barnhill.nbed.nb.ca,"1952",2531107.50546126,7361654.34566128
"2005",ASD-S,Anglophone,Beaconsfield Middle School,630 Fundy Drive,NULL,Saint John,Saint John,E2M 2S5,6-8,"English, French Immersion","Anglais, Immersion française",http://bms.nbed.nb.ca,"1957",2533131.86719114,7361252.4410209
"2057",ASD-S,Anglophone,Saint Rose School,700 Manawagonish Road,NULL,Saint John,Saint John,E2M 3W5,"Kindergarten, 1-5",English,Anglais,http://saintrose.nbed.nb.ca,"1960",2531174.37842132,7361768.78572538
"2070",ASD-S,Anglophone,Island View School,496 Ridge Row,NULL,Saint John,Saint John,E2M 4A1,"Kindergarten, 1-5",English,Anglais,http://islandview.nbed.nb.ca,"1972",2529139.88229143,7359646.8515154
"2104",ASD-S,Anglophone,Deer Island Community School,NULL,711 Route 772,Fairhaven,Charlotte,E5V 1T1,"Kindergarten, 1-8",English,Anglais,http://dics.nbed.nb.ca,"1986",2461746.69054866,7331087.04835281
"2206",ASD-S,Anglophone,White Head Elementary School,278 White Head Road,NULL,White Head Island,Charlotte,E5G 1K6,"Kindergarten, 1-4",English,Anglais,NULL,"1971",2483272.53696871,7292901.43372525
"2201",ASD-S,Anglophone,Grand Manan Community School,1144 Route 776,NULL,Grand Manan,Charlotte,E5G 4E8,"Kindergarten, 1-12",English,Anglais,http://gmcs.nbed.nb.ca,"1965",2478928.37466066,7298609.66643456
"2101",ASD-S,Anglophone,Back Bay Elementary School,980 Route 172,NULL,Back Bay,Charlotte,E5C 1Y1,"Kindergarten, 1-5",English,Anglais,http://bbes.nbed.nb.ca,"1948",2470659.56172496,7339616.36394475
"2111",ASD-S,Anglophone,Fundy Middle and High School,44 Mount Pleasant Road,NULL,St. George,Charlotte,E5C 3K4,6-12,"English, French Immersion","Anglais, Immersion française",http://fundyhs.nbed.nb.ca,"1977",2475624.81689759,7347247.51339186
"2110",ASD-S,Anglophone,St. George Elementary School,118 Brunswick Street,NULL,St. George,Charlotte,E5C 1A9,"Kindergarten, 1-5","English, French Immersion","Anglais, Immersion française",http://sges.nbed.nb.ca,"1949",2473730.29055982,7347661.36657624
"2103",ASD-S,Anglophone,Blacks Harbour School,800 Main Street,NULL,Blacks Harbour,Charlotte,E5H 1E6,"Kindergarten, 1-5",English,Anglais,http://bhs.nbed.nb.ca,"1953",2477478.05440331,7339684.00861681
"2074",ASD-S,Anglophone,Fundy Shores School,1095 Route 790,NULL,Dipper Harbour,Saint John,E5J 1W4,"Kindergarten, 1-5",English,Anglais,http://fundyshores.nbed.nb.ca,"1988",2503700.59164373,7343969.8248128
"2023",ASD-S,Anglophone,Morna Heights School,80 Chalmer Drive,NULL,Saint John,Saint John,E2M 6M9,"Kindergarten, 1-5",English,Anglais,http://mornaheights.nbed.nb.ca,"1963",2526021.90648052,7365592.97056094
"2052",ASD-S,Anglophone,St. Martins School,69 Main Street,NULL,St. Martins,Saint John,E5R 1B4,"Kindergarten, 1-5",English,Anglais,http://stmartins.nbed.nb.ca,"1973",2574294.24406148,7372710.31943157
"1801",ASD-S,Anglophone,Apohaqui Elementary School,23 Foster Avenue West,NULL,Apohaqui,Kings,E5P 3M9,"Kindergarten, 1-5",English,Anglais,http://apohaqui.nbed.nb.ca,"1964",2569892.96904938,7411374.75364358
"1817",ASD-S,Anglophone,Sussex Elementary School,25 Duke Street,NULL,Sussex,Kings,E4E 1P8,"Kindergarten, 1-5","English, French Immersion","Anglais, Immersion française",http://sussexelementary.nbed.nb.ca,"1962",2576527.18742356,7414356.22705436
"1818",ASD-S,Anglophone,Sussex Regional High School,55 Leonard Drive,NULL,Sussex,Kings,E4E 2P8,9-12,"English, French Immersion","Anglais, Immersion française",http://sussexhigh.nbed.nb.ca/,"1979",2578425.38659333,7414405.5517264
"1820",ASD-S,Anglophone,Sussex Middle School,49 Bryant Drive,NULL,Sussex,Kings,E4E 2P2,6-8,"English, French Immersion","Anglais, Immersion française",http://sussexmiddle.nbed.nb.ca,"1991",2578893.77430576,7414287.00759829
"1819",ASD-S,Anglophone,Sussex Corner Elementary School,12 Dutch Valley Road,NULL,Sussex Corner,Kings,E4E 2Y1,"Kindergarten, 1-5","English, French Immersion","Anglais, Immersion française",http://sussexcorner.nbed.nb.ca,"1980",2579668.40509048,7412217.47710036
"2639",ASD-W,Anglophone,New Maryland Elementary School,75 Clover Street,NULL,New Maryland,York,E3C 1C5,"Kindergarten, 1-5","English, French Immersion","Anglais, Immersion française",http://nmes.nbed.nb.ca,"1994",2485042.50625036,7432951.45599968
"2505",ASD-W,Anglophone,Sunbury West School,5 Pride's Landing Road,NULL,Fredericton Junction,Sunbury,E5L 1Y1,"Kindergarten, 1-8","English, French Immersion","Anglais, Immersion française",http://sunburywest.nbed.nb.ca,"1991",2491742.2032806,7406483.83831102
"2503",ASD-W,Anglophone,Geary Elementary Community School,16 Lauvina Bye Road,NULL,Geary,Sunbury,E2V 3Y1,"Kindergarten, 1-5",English,Anglais,http://geary.nbed.nb.ca,"1955",2501989.34978614,7418689.64965039
"3823",ASD-N,Anglophone,Sugarloaf Senior High School,201 Dover Street,NULL,Campbellton,Restigouche,E3N 1R3,9-12,"English, French Immersion","Anglais, Immersion française",http://sugarloaf.nbed.nb.ca,"1976",2486871.86599606,7666625.7387133
"3803",ASD-N,Anglophone,Lord Beaverbrook School,113 Arran Street,NULL,Campbellton,Restigouche,E3N 1M1,"Kindergarten, 1-4","English, French Immersion","Anglais, Immersion française",NULL,"1959",2486565.99220378,7666817.63042548
"3806",ASD-N,Anglophone,Campbellton Middle School,80 Arran Street,NULL,Campbellton,Restigouche,E3N 1L7,5-8,"English, French Immersion","Anglais, Immersion française",http://cms.nbed.nb.ca,"1925",2487141.20065231,7666901.18524156
"3722",DSF-NE,Francophone,Polyvalente Roland-Pépin,"45A, rue du Village",C.P. 220,Campbellton,Restigouche,E3N 3G4,9-12,French,Français,http://rolandpepin.wordpress.com,"1968",2487836.30516496,7666470.40636116
"3511",DSF-NE,Francophone,Académie Notre-Dame,"357, rue Grey",NULL,Dalhousie,Restigouche,E8C 1W6,"Maternelle, 1-8",French,Français,http://academienotredame.wordpress.com,"1936",2509740.94390536,7673733.77827192
"3516",DSF-NE,Francophone,Aux quatre vents,"499, promenade Les Jeux du Canada",NULL,Dalhousie,Restigouche,E8C 1V6,9-12,French,Français,http://blogueaqv.com,"1983",2507745.9869755,7673291.67651151
"3615",ASD-N,Anglophone,Dalhousie Regional High School,500 Canada Games Drive,NULL,Dalhousie,Restigouche,E8C 2P5,6-12,"English, French Immersion","Anglais, Immersion française",http://drhs.nbed.nb.ca,"1970",2508774.45609646,7673332.68873555
"3613",ASD-N,Anglophone,L.E. Reinsborough School,390 Adelaide Street,NULL,Dalhousie,Restigouche,E8C 3C4,"Kindergarten, 1-5","English, French Immersion","Anglais, Immersion française",http://ler.nbed.nb.ca,"1920",2509416.33257706,7673952.77948812
"3517",DSF-NE,Francophone,La Mosaïque du Nord,"385, avenue des Pionniers",NULL,Balmoral,Restigouche,E8E 1B2,"Maternelle, 1-8",French,Français,http://mosaiquedunord.wordpress.com,"2011",2504990.67497294,7666508.85653719
"4125",DSF-NE,Francophone,La Croisée,"1341, chemin Robertville",NULL,Robertville,Gloucester,E8K 2V9,"Maternelle, 1-8",French,Français,http://lacroisee.nbed.nb.ca,"1949",2554644.26989918,7633230.9884742
"4114",DSF-NE,Francophone,Le Tournesol,"63, rue LaPlante est",NULL,Petit-Rocher,Gloucester,E8J 1H4,"Maternelle, 1-3",French,Français,http://letournesol.nbed.nb.ca,"1949",2558757.49729501,7642818.37843513
